Ticker Symbol, Last Price, Shares Owned, Transaction Type
symbol_1, $1314, 52352, Womp womp 1
symbol_2, $1314, 52352, Womp womp 2
symbol_3, $1314, 52352, Womp womp 3
symbol_4, $1314, 52352, Womp womp 4
symbol_5, $1314, 52352, Womp womp 5
symbol_6, $1314, 52352, Womp womp 6
symbol_1, $1314, 52352, Womp womp 1
symbol_2, $1314, 52352, Womp womp 2
symbol_3, $1314, 52352, Womp womp 3
symbol_4, $1314, 52352, Womp womp 4
symbol_5, $1314, 52352, Womp womp 5
symbol_6, $1314, 52352, Womp womp 6
symbol_1, $1314, 52352, Womp womp 1
symbol_2, $1314, 52352, Womp womp 2
symbol_3, $1314, 52352, Womp womp 3
symbol_4, $1314, 52352, Womp womp 4
symbol_5, $1314, 52352, Womp womp 5
symbol_6, $1314, 52352, Womp womp 6
symbol_1, $1314, 52352, Womp womp 1
symbol_2, $1314, 52352, Womp womp 2
symbol_3, $1314, 52352, Womp womp 3
symbol_4, $1314, 52352, Womp womp 4
symbol_5, $1314, 52352, Womp womp 5
symbol_6, $1314, 52352, Womp womp 6
symbol_1, $1314, 52352, Womp womp 1
symbol_2, $1314, 52352, Womp womp 2
symbol_3, $1314, 52352, Womp womp 3
symbol_4, $1314, 52352, Womp womp 4
symbol_5, $1314, 52352, Womp womp 5
symbol_6, $1314, 52352, Womp womp 6
